,Unnamed: 0.1,Unnamed: 0,id,SMILES_x,SMILES_y,smiles
13808,15363,15363,35954,[H]OC(=O)C(OC([H])(C(=C([H])[H])C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,[H]OC(=O)C(OC([H])(C(=C([H])[H])C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
13809,15364,15364,35955,[H]C([H])([H])OC(=O)C#CC([H])([H])C([H])([H])C([H])([H])Cl,,[H]C([H])([H])OC(=O)C#CC([H])([H])C([H])([H])C([H])([H])Cl
13810,15365,15365,35957,[H]OC(=O)C12N([H])C(=O)C([H])([H])C1([H])C2([H])[H],,[H]OC(=O)C12N([H])C(=O)C([H])([H])C1([H])C2([H])[H]
13811,15366,15366,35958,[H]Oc1c([H])c(-n2c([H])nc([H])c2[H])c(O[H])c([H])c1-n1c([H])nc([H])c1[H],,[H]Oc1c([H])c(-n2c([H])nc([H])c2[H])c(O[H])c([H])c1-n1c([H])nc([H])c1[H]
13812,15367,15367,35959,[H]c1c([H])c([N+](=O)[O-])c2c(c([H])nn2[H])c1[H],,[H]c1c([H])c([N+](=O)[O-])c2c(c([H])nn2[H])c1[H]
13813,15368,15368,35960,[H]c1c(F)c(Cl)c([N+](=O)[O-])c([H])c1[N+](=O)[O-],,[H]c1c(F)c(Cl)c([N+](=O)[O-])c([H])c1[N+](=O)[O-]
13814,15369,15369,35962,[H]C([H])([H])C1=C(SC#N)C([H])([H])C(C#N)(C#N)C(C#N)(C#N)C1([H])[H],,[H]C([H])([H])C1=C(SC#N)C([H])([H])C(C#N)(C#N)C(C#N)(C#N)C1([H])[H]
13815,15370,15370,35964,[H]OC1([H])C([H])=C(C2([H])OC2([H])C([H])([H])[H])C(=O)OC1([H])C([H])([H])[H],,[H]OC1([H])C([H])=C(C2([H])OC2([H])C([H])([H])[H])C(=O)OC1([H])C([H])([H])[H]
13816,15372,15372,35968,[H]c1c([H])c([H])c(N=Nc2c([H])c([H])c(N([H])C([H])([H])[H])c([H])c2[H])c([H])c1[H],,[H]c1c([H])c([H])c(N=Nc2c([H])c([H])c(N([H])C([H])([H])[H])c([H])c2[H])c([H])c1[H]
13817,15373,15373,35970,[H]C([H])([H])C12C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1(C([H])([H])[H])C2(Cl)Cl,,[H]C([H])([H])C12C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1(C([H])([H])[H])C2(Cl)Cl
13818,15374,15374,35972,[H]C([H])([H])OC(=O)C([H])(C([H])([H])C#N)C([H])([H])[N+](=O)[O-],,[H]C([H])([H])OC(=O)C([H])(C([H])([H])C#N)C([H])([H])[N+](=O)[O-]
13819,15375,15375,35973,[H]c1c([H])c([H])c([N+](=O)[O-])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1[H],,[H]c1c([H])c([H])c([N+](=O)[O-])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1[H]
13820,15377,15377,35978,[H]c1oc2c(oc(=O)c3c4c([H])c([H])c([H])c(C([H])([H])[H])c4c([H])c([H])c23)c1C([H])([H])[H],,[H]c1oc2c(oc(=O)c3c4c([H])c([H])c([H])c(C([H])([H])[H])c4c([H])c([H])c23)c1C([H])([H])[H]
13821,15378,15378,35979,[H]C([H])=C([H])C([H])([H])n1c(=S)n([H])c(=O)c2c([H])c([H])c([H])c([H])c21,,[H]C([H])=C([H])C([H])([H])n1c(=S)n([H])c(=O)c2c([H])c([H])c([H])c([H])c21
13822,15379,15379,35981,[H]c1nc(N([H])[H])c(C(=O)OC([H])([H])[H])c([H])c1[H],,[H]c1nc(N([H])[H])c(C(=O)OC([H])([H])[H])c([H])c1[H]
13823,15380,15380,35982,[H]C(=C([H])N(C([H])([H])[H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[N+](=O)[O-],,[H]C(=C([H])N(C([H])([H])[H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[N+](=O)[O-]
13824,15382,15382,35985,[H]C([H])([H])OC1=C(C([H])([H])[H])C(=O)C([H])(OC(=O)C([H])([H])[H])C([H])([H])C1([H])[H],,[H]C([H])([H])OC1=C(C([H])([H])[H])C(=O)C([H])(OC(=O)C([H])([H])[H])C([H])([H])C1([H])[H]
13825,15383,15383,35986,[H]C1([H])N2C(=O)OC(=O)C2([H])C([H])([H])C1([H])[H],,[H]C1([H])N2C(=O)OC(=O)C2([H])C([H])([H])C1([H])[H]
13826,15384,15384,35987,[H]C(=O)C(Cl)=C([H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],,[H]C(=O)C(Cl)=C([H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H]
13827,15385,15385,35988,[H]c1c([H])c([H])c2c(c1[H])c1c([H])c([H])n([H])c(=O)c1n2[H],,[H]c1c([H])c([H])c2c(c1[H])c1c([H])c([H])n([H])c(=O)c1n2[H]
13828,15386,15386,35990,[H]OC([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])C([H])([H])n1c([H])nc2c(N([H])[H])nc([H])nc21,,[H]OC([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])C([H])([H])n1c([H])nc2c(N([H])[H])nc([H])nc21
13829,15387,15387,35991,[H]C#CC([H])(N([H])C([H])=O)C([H])([H])[H],,[H]C#CC([H])(N([H])C([H])=O)C([H])([H])[H]
13830,15388,15388,35994,[H]c1c([H])c([H])c(C2([H])C(F)(F)C2(F)F)c([H])c1[H],,[H]c1c([H])c([H])c(C2([H])C(F)(F)C2(F)F)c([H])c1[H]
13831,15389,15389,35995,[H]c1c([N+](=O)[O-])c([H])c2c(c1[H])c(C#N)c(C([H])([H])[H])n1c(C([H])([H])[H])nnc21,,[H]c1c([N+](=O)[O-])c([H])c2c(c1[H])c(C#N)c(C([H])([H])[H])n1c(C([H])([H])[H])nnc21
13832,15390,15390,35996,[H]OC1([H])C(=C([H])[H])C2([H])C3([H])OC(=O)C(=C([H])[H])C3([H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])(O[H])C1([H])[H],,[H]OC1([H])C(=C([H])[H])C2([H])C3([H])OC(=O)C(=C([H])[H])C3([H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])(O[H])C1([H])[H]
13833,15391,15391,35998,[H]C1=C(C([H])([H])[H])C([H])([H])C(=O)C([H])(c2c([H])c([H])c([H])c([H])c2[H])C1([H])[H],,[H]C1=C(C([H])([H])[H])C([H])([H])C(=O)C([H])(c2c([H])c([H])c([H])c([H])c2[H])C1([H])[H]
13834,15392,15392,35999,[H]C([H])([H])C([H])([H])C([H])(C#N)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],,[H]C([H])([H])C([H])([H])C([H])(C#N)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
13835,15393,15393,36000,[H]OC1([H])C([H])([H])C([H])(C([H])([H])C(=O)OC([H])([H])[H])C2([H])OC(C([H])([H])[H])(C([H])([H])[H])OC12[H],,[H]OC1([H])C([H])([H])C([H])(C([H])([H])C(=O)OC([H])([H])[H])C2([H])OC(C([H])([H])[H])(C([H])([H])[H])OC12[H]
13836,15394,15394,36001,[H]OC([H])([H])C1([H])SC([H])(n2c([H])c(Cl)c(=O)n([H])c2=O)C([H])([H])C1([H])O[H],,[H]OC([H])([H])C1([H])SC([H])(n2c([H])c(Cl)c(=O)n([H])c2=O)C([H])([H])C1([H])O[H]
13837,15395,15395,36003,[H]c1nc2c([H])c([H])c([H])c([H])c2c(OC([H])([H])C([H])([H])[H])c1[H],,[H]c1nc2c([H])c([H])c([H])c([H])c2c(OC([H])([H])C([H])([H])[H])c1[H]
13838,15396,15396,36004,[H]C([H])=C([H])C12C([H])([H])C(C(=O)OC([H])([H])[H])(C(=O)OC([H])([H])[H])C([H])([H])C1([H])C2([H])[H],,[H]C([H])=C([H])C12C([H])([H])C(C(=O)OC([H])([H])[H])(C(=O)OC([H])([H])[H])C([H])([H])C1([H])C2([H])[H]
13839,15397,15397,36006,[H]c1c([H])c(F)c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H],,[H]c1c([H])c(F)c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H]
13840,15398,15398,36008,[H]C(=C([H])N(C([H])([H])[H])C([H])([H])[H])c1c(Cl)c([H])c([H])c([H])c1[N+](=O)[O-],,[H]C(=C([H])N(C([H])([H])[H])C([H])([H])[H])c1c(Cl)c([H])c([H])c([H])c1[N+](=O)[O-]
13841,15399,15399,36011,[H]C1=C(OC([H])([H])[H])C(=O)C(C([H])([H])C([H])([H])[H])=C([H])C1=O,,[H]C1=C(OC([H])([H])[H])C(=O)C(C([H])([H])C([H])([H])[H])=C([H])C1=O
13842,15400,15400,36013,[H]OC([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C(=O)C1=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],,[H]OC([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C(=O)C1=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
13843,15401,15401,36014,[H]OC([H])([H])C([H])([H])C([H])([H])C(O[H])(C([H])([H])[H])C([H])([H])C([H])([H])O[H],,[H]OC([H])([H])C([H])([H])C([H])([H])C(O[H])(C([H])([H])[H])C([H])([H])C([H])([H])O[H]
13844,15402,15402,36015,[H]c1c([H])c(C2([H])OC([H])([H])C(C([H])([H])[H])(C3([H])OC([H])([H])C([H])([H])O3)C([H])([H])O2)c([H])c([H])c1OC([H])([H])[H],,[H]c1c([H])c(C2([H])OC([H])([H])C(C([H])([H])[H])(C3([H])OC([H])([H])C([H])([H])O3)C([H])([H])O2)c([H])c([H])c1OC([H])([H])[H]
13845,15403,15403,36016,[H]C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])(C#N)C([H])([H])C([H])([H])C([H])([H])[H],,[H]C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])(C#N)C([H])([H])C([H])([H])C([H])([H])[H]
