,file,smiles
185,20071963,C(C(C([H])([H])[H])(C(C([H])([H])[H])(B(C(C(C([H])([H])[H])(C([H])([H])[H])[H])(C([H])([H])[H])[H])OC([H])([H])[H])[H])[H])([H])([H])[H]
186,20230151,C=1(C(=C2N(C1[H])C(C(C2([H])[H])(C([H])([H])[H])[H])([H])[H])[H])C=3C(=C(C(=C(C3[H])[H])[H])[H])[H]
187,30101781,C1(C(C(C(N1C(=O)C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])(C(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])[H]
188,10016756,C(C(=O)C1(C(C1([H])[H])([H])[H])[H])([H])([H])[H]
189,20234097,C1(=C(C(OC2([Se]1)C(C3=C(C2(C([H])([H])[H])C([H])([H])[H])C(=C(C(=C3[H])[H])[H])[H])(C([H])([H])[H])C([H])([H])[H])=O)[H])[H]
191,10017827,C1(C(C(C(N1C2=C(C(=C(C(=C2[H])[H])[H])Cl)[H])=O)=C(N3C(C(OC(C3([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])=O
192,74289,C(S(C(C([H])([H])[H])(C([H])([H])[H])[H])(=O)=O)(=C([H])[H])[H]
194,10005895,C1(=C(C(=C(C(=C1[H])[H])[H])[H])[H])C(C(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])=O)=O
195,20230565,C1(=C(C(=C(C(=C1[H])[H])OC([H])([H])[H])[H])[H])N2C(C(C2=O)([H])[H])=C(C#N)[H]
197,60008614,N(N(F)F)(F)F
198,20027355,C1(=C(C(=C(C(N1[H])=O)[H])C([H])([H])[H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H]
199,20180299,C(#CC(N([H])[H])([H])[H])[H]
200,20027414,C(=C(B1OC2=C(O1)C(=C(C(=C2[H])[H])[H])[H])[H])(C3=C(C(=C(C(=C3[H])[H])OC([H])([H])[H])[H])[H])[H]
202,10017975,C(SC#CC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])#N
205,20207976,O=C(C1=C(C(O[H])=C(O[H])C(=C1[H])[H])[H])C(N(C([H])([H])[H])[H])([H])[H]
206,10018384,N1(N=C(C(=C1C([H])([H])[H])[H])C=2C(=C(C(=C(C2[H])[H])[H])[H])[H])C([H])([H])[H]
207,20242342,C(C(=O)C(C(C(O[H])([H])[H])([H])[H])=C([H])[H])([H])([H])[H]
208,10023000,C1(N(C(C(C1([H])[H])(C#N)[H])([H])[H])[H])(C(=O)N2C(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C=3C(=C(C(=C(C3[H])[H])[H])[H])[H]
213,89643,C(O[Si](C(Cl)([H])[H])(OC(C([H])([H])[H])([H])[H])OC(C([H])([H])[H])([H])[H])(C([H])([H])[H])([H])[H]
214,20180368,C1(=NN=C(N=N1)N([H])[H])C=2C(=C(C(=C(C2[H])[H])OC([H])([H])[H])[H])[H]
216,10018397,C1(=C(C(=C(N2C1=NC(=C(C2=O)C(=O)O[H])SC([H])([H])[H])[H])[H])[H])[H]
217,20181083,C=1(C2=C(C(=C3C1C4(C(C(O3)([H])[H])(C=5C(O4)=C(C6=C(C5[H])OC(O6)([H])[H])[H])[H])[H])OC([H])([H])[H])OC(=C2[H])[H])[H]
218,89130,C1(=NN(C(=O)C([H])([H])[H])N=C1[H])[H]
219,10017955,C12(ON(C(C(=C1[H])[H])(C(C2([H])[H])([H])[H])[H])C(=O)N3C(C(C(C3([H])[H])([H])[H])([H])[H])(C(N(C4=C(C(=C(C(=C4[H])[H])[H])[H])[H])[H])([H])[H])[H])[H]
221,20180988,C(=C(C(=C(C(Cl)([H])[H])[H])C([H])([H])[H])[H])([H])[H]
