Original_SMILES,Canonical_SMILES,Source_Dataset,Source_ID
C(#CC(C(C(C(O[H])([H])[H])([H])[H])([H])[H])([H])[H])[H],C#CCCCCO,nmrdb,10024110
C(#CC(C(C(O[H])([H])[H])([H])[H])([H])[H])[H],C#CCCCO,nmrdb,10024111
C(#CC(C(O[H])([H])[H])([H])[H])[H],C#CCCO,nmrdb,10016652
C1(N(C(C(C1([H])[H])([H])[H])([H])[H])C(C#C[H])([H])[H])([H])[H],C#CCN1CCCC1,nmrdb,20045208
C1(N(C(C(N1C(C#C[H])([H])[H])([H])[H])([H])[H])[H])=O,C#CCN1CCNC1=O,nmrdb,20233929
C1(N(C(C(OC1([H])[H])([H])[H])([H])[H])C(C#C[H])([H])[H])([H])[H],C#CCN1CCOCC1,nmrdb,10025327
C(#CC(N(C(=O)[H])[H])([H])[H])[H],C#CCNC=O,nmrdb,20180776
C(#CC(O[H])([H])[H])[H],C#CCO,nmrdb,10016645
C(#CC(OC([H])([H])[H])([H])[H])[H],C#CCOC,nmrdb,10006072
C(#CC(OC(C([H])([H])[H])=O)([H])[H])[H],C#CCOC(C)=O,nmrdb,20238728
C12(C3(C4(C1(C5(C2(C3(C45[H])[H])[H])[H])[H])[H])[H])[H],C12C3C4C1C1C2C3C41,nmrdb,10016411
C=1(C(C2(C(C1[H])(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])[H],C1=CC2CCCCC2C1,nmrdb,30102061
C1(=C(C(=C(C(=C(C(=C1[H])[H])[H])[H])[H])[H])[H])[H],C1=CC=CC=CC=C1,nmrdb,10010849
C1(=C(C(=C(C(=C(C1([H])[H])[H])[H])[H])[H])[H])[H],C1=CC=CCC=C1,nmrdb,10008591
C1(C(=C(C(C1([H])[H])([H])[H])[H])[H])([H])[H],C1=CCCC1,nmrdb,10009497
C1(C(C(=C(C(C(C(=C1[H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H],C1=CCCC=CCC1,nmrdb,9667
C1(=C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])[H])[H],C1=CCCCC1,nmrdb,10005926
C1(=C(C(=C(C(C(C1([H])[H])([H])[H])([H])[H])[H])[H])[H])[H],C1=CCCCC=C1,nmrdb,10008590
